,,丸山隆平,maruyama-ryuhei-tickets,ジャニーズ,TRUE,
,,MrKing VS MrPrince キンプリ,kinpuri-tickets,ジャニーズ,TRUE,
,,三宅健,miyake-ken-tickets,ジャニーズ,TRUE,
,,MADE(メイド),made-tickets,ジャニーズ,TRUE,
,,森田剛,morita-go-tickets,ジャニーズ,TRUE,
,,諸星和己,morohoshi-kazumi-tickets,ジャニーズ,TRUE,
,,山口達也,yamaguchi-tatsuya-tickets,ジャニーズ,TRUE,
,,山下智久(山P),yamashita-tomohisa-tickets,ジャニーズ,TRUE,
,,山田涼介,yamada-ryosuke-tickets,ジャニーズ,TRUE,
,,屋良朝幸,yara-tomoyuki-tickets,ジャニーズ,TRUE,
,,横山裕,yokoyama-yu-tickets,ジャニーズ,TRUE,
,,Lovetune(ラブチューン),love-tune-tickets,ジャニーズ,TRUE,
55513,EXILE ATSUSHI,EXILE ATSUSHI あつし,exile-atsushi-tickets,LDH,FALSE,4
,,Ami(中島麻未),ami-tickets,LDH,TRUE,
,,岩田剛典(がんちゃん),iwata-takanori-tickets,LDH,TRUE,
50632,E-Girls,E-girls(イーガールズ),egirls-tickets,LDH,FALSE,4
1901,EXILE,EXILE(エグザイル),exile-tickets,LDH,FALSE,4
,,EXILE NAOTO(なおと),exile-naoto-tickets,LDH,TRUE,
,,EX SHOW 2016,ex-show-tickets,LDH,TRUE,
64468,EXILE TAKAHIRO,EXILE TAKAHIRO(たかひろ),exile-takahiro-tickets,LDH,FALSE,4
,,EXILE TRIBE,exile-tribe-tickets,LDH,TRUE,
63196,EXILE THE SECOND,THE SECOND from EXILE,t-second-tickets,LDH,FALSE,4
,,ShuuKaRen(藤井姉妹),shuukaren-tickets,LDH,TRUE,
,,EXILE SHOKICHI(しょうきち),shokichi-tickets,LDH,TRUE,
46712,三代目 J Soul Brothers,三代目 J Soul Brothers,jsoulbrothers-tickets,LDH,FALSE,4
24443,GENERATIONS,GENERATIONS,generations-tickets,LDH,FALSE,4
,,ZEN(ゼン),zen-tickets,LDH,TRUE,
,,DANCE EARTH PARTY,dep-tickets,LDH,TRUE,
54669,MAKIDAI,DJ MAKIDAI CLUB EXILE,club-exile-tickets,LDH,FALSE,
,,DEEP (ディープ),category-30461-tickets,LDH,TRUE,
1252,Dream(E-girls),Dream(ドリーム),dream-tickets,LDH,FALSE,
67488,DOBERMAN INFINITY,ドーベルマンインフィニティ,doberman-infinity-tickets,LDH,FALSE,
96611,HiGH&LOW,ハイアンドロー(HiGH＆LOW),high-low-tickets,LDH,FALSE,
40359,Happiness(E-girls),Happiness(ハピネス),happiness-tickets,LDH,FALSE,4
,,Bannies(バニーズ),bannies-tickets,LDH,TRUE,
70266,PKCZ,PKCZ(ピーケーシーズ),ufo-tickets,LDH,FALSE,
70287,Flower(E-girls),Flower(フラワー),flower-tickets,LDH,FALSE,4
58316,BREATHE,BREATHE(ブリーズ),breathe-tickets,LDH,FALSE,
,,PROJECT TARO,project-taro-tickets,LDH,TRUE,
54911,MATSU/松本利夫,松本利夫(MATSU),matsumoto-toshio-tickets,LDH,FALSE,
89817,宮田悟志,宮田悟志(宮田慧),miyata-satoshi-tickets,LDH,FALSE,
,,Rabbits(ラビッツ),rabbits-tickets,LDH,TRUE,
67893,THE RAMPAGE from EXILE TRIBE,THE RAMPAGE(ランページ),rampage-tickets,LDH,FALSE,4
90721,RED DIAMOND DOGS,RED DIAMOND DOGS,red-diamond-dogs-tickets,LDH,FALSE,
26144,愛笑む,愛笑む,aiemu-tickets,グループ,FALSE,
71340,AiZe,AiZe(アイズ),aize-tickets,グループ,FALSE,
60619,I Don’t Like Mondays.,I Don’t Like Mondays.,idlms-tickets,グループ,FALSE,
60597,愛はズボーン,愛はズボーン,iwasborn-tickets,グループ,FALSE,
62807,Ivy to Fraudulent Game,Ivy to Fraudulent Game,ivytfg-tickets,グループ,FALSE,
,,I’ve(アイブ),ive-tickets,グループ,TRUE,
5053,OUTRAGE,アウトレイジ(OUTRAGE),outrage-tickets,グループ,FALSE,
4421,藍坊主,藍坊主,aobozu-tickets,グループ,FALSE,
52608,赤い公園,赤い公園,akaikoen-tickets,グループ,FALSE,
63937,赤色のグリッター,赤色のグリッター,akairo-glitter-tickets,グループ,FALSE,
27142,アカシアオルケスタ,アカシアオルケスタ,acacia-tickets,グループ,FALSE,
59046,アカシック,アカシック,akasick-tickets,グループ,FALSE,
55297,aquarifa,aquarifa(アカリファ),aquarifa-tickets,グループ,FALSE,
4508,aki(ex.Laputa),aki(Laputa),aki-the-band-tickets,グループ,FALSE,
29593,秋休,秋休(AKIYASUMI),akiyasumi-tickets,グループ,FALSE,
4849,Aqua Timez,アクアタイムズ(Aqua Timez),category-30347-tickets,グループ,FALSE,
71513,Axkey,Axkey(アクスキー),axkey-tickets,グループ,FALSE,
32729,access,access(アクセス),access-tickets,グループ,FALSE,
68185,ACT ONE AGE,ACT ONE AGE,act-one-age-tickets,グループ,FALSE,
61218,a crowd of rebellion,a crowd of rebellion,a-crowd-of-rebellion-tickets,グループ,FALSE,
2007,ACIDMAN,ACIDMAN アシッドマン,acidman-tickets,グループ,FALSE,
2450,ASIAN KUNG-FU GENERATION,アジカン,asian-kung-fu-generation-tickets,グループ,FALSE,
2556,ASPARAGUS,アスパラガス(ASPARAGUS),asparagus-tickets,グループ,FALSE,
35070,Asriel,Asriel(アズリエル),asriel-tickets,グループ,FALSE,
49418,ATATA,ATATA(アタタ),atata-tickets,グループ,FALSE,
90150,ATTACKDEM,アタックデン,attackdem-tickets,グループ,FALSE,
60114,ADAM at,ADAM at(アダムアット),adam-at-tickets,グループ,FALSE,
2789,ASH(北アイルランドのバンド),ASH(アッシュ),ash-tickets,グループ,FALSE,
34361,あっぱ,あっぱ,appa-tickets,グループ,FALSE,
2888,吾妻光良,吾妻光良＆SwingingBoppers,boppers-tickets,グループ,FALSE,
922,advantage Lucy,advantage Lucy,advantage-tickets,グループ,FALSE,
75041,addworks,addworks(アドワークス),addworks-tickets,グループ,FALSE,
51853,another sunnyday,another sunnyday (アナサニ),another-sunnyday-tickets,グループ,FALSE,
58226,Another Story,アナザーストーリー,another-story-tickets,グループ,FALSE,
2877,アナログフィッシュ,アナログフィッシュ,analog-fish-tickets,グループ,FALSE,
59456,アネモネ(ヴィジュアル系バンド),アネモネ,anemone-tickets,グループ,FALSE,
4777,A Hundred Birds,A Hundred Birds Orchestra,ahb-orchestra-tickets,グループ,FALSE,
37701,about tess,about tess,about-tess-tickets,グループ,FALSE,
89138,アバンティーズ,アバンティーズ,avntis-tickets,グループ,FALSE,
,,After the Rain,after-the-rain-tickets,グループ,TRUE,
,,AFTER SCHOOL HANGOUT,after-school-hangout-tickets,グループ,TRUE,
20992,a flood of circle,a flood of circle,a-flood-of-circle-tickets,グループ,FALSE,
4162,あふりらんぽ ,あふりらんぽ,afrirampo-tickets,グループ,FALSE,
31794,A.F.R.O,AFRO(アフロ),a-f-r-o-tickets,グループ,FALSE,
58437,AvelCain,AvelCain(アベルカイン),avelcain-tickets,グループ,FALSE,
19696,avengers in sci-fi,avengers in sci-fi,avengers-in-sci-fi-tickets,グループ,FALSE,
6487,APOGEE,APOGEE(アポジー),apogee-tickets,グループ,FALSE,
48072,amazarashi,amazarashi,amazarashi-tickets,グループ,FALSE,
5364,天照,アマテラス(天照),amateras-tickets,グループ,FALSE,
69255,Amaryllis Bomb,アマリリスボム,amaryllis-bomb-tickets,グループ,FALSE,
68405,雨のパレード,雨のパレード,ameno-parade-tickets,グループ,FALSE,
60266,ame full orchestra,ame full orchestra,ame-full-orchestra-tickets,グループ,FALSE,
4771,彩冷える-ayabie-,彩冷える(AYABIE),ayabie-tickets,グループ,FALSE,
65928,あゆみくりかまき,あゆみくりかまき,ayumi-kurika-maki-tickets,グループ,FALSE,
,,ALIVE(アライブ),alive-tickets,グループ,TRUE,
59829,あらいやかしこ,あらいやかしこ,alkc-tickets,グループ,FALSE,
23066,あらかじめ決められた恋人たちへ,あらかじめ決められた恋人たちへ,arakazime-tickets,グループ,FALSE,
42050,荒川ケンタウロス,荒川ケンタウロス,arakawakentauros-tickets,グループ,FALSE,
57178,Alaska Jam,Alaska Jam,alaska-jam-tickets,グループ,FALSE,
,,アリス,category-32818-tickets,グループ,TRUE,
4100,A9,A9(アリスナイン),alice-nine-tickets,グループ,FALSE,
,,AL(アル),al-tickets,グループ,TRUE,
28124,アルカラ,アルカラ,arukara-tickets,グループ,FALSE,
59836,アルスマグナ,アルスマグナ,ars-magna-tickets,グループ,FALSE,
54558,ALTIMA,ALTIMA(アルティマ),altima-tickets,グループ,FALSE,
51907,ARTEMA,アルテマ(ARTEMA),artema-tickets,グループ,FALSE,
45034,Aldious,アルディアス(Aldious),aldious-tickets,グループ,FALSE,
493,THE ALFEE,アルフィー(THE ALFEE),the-alfee-tickets,グループ,FALSE,
61447,アルルカン,アルルカン(Arlequin),arlequin-tickets,グループ,FALSE,
6869,ALvino,ALvino(アルヴィノ),alvino-tickets,グループ,FALSE,
38798,[Alexandros],Alexandros(Champagne),category-30171-tickets,グループ,FALSE,
4733,アンティック-珈琲店- ,アンカフェ,ancafe-tickets,グループ,FALSE,
56228,ANGRY FROG REBIRTH,ANGRY FROG REBIRTH,angry-frog-rebirth-tickets,グループ,FALSE,
3504,angela(atsuko × KATSU),angela(アンジェラ),angela-tickets,グループ,FALSE,
10478,Angelo,Angelo(アンジェロ),angelo-tickets,グループ,FALSE,
3716,ANTHEM,ANTHEM(アンセム),anthem-tickets,グループ,FALSE,
40303,安全地帯,安全地帯,anzentitai-tickets,グループ,FALSE,
3505,アンダーグラフ,アンダーグラフ,under-graph-tickets,グループ,FALSE,
57500,__(アンダーバー),undervar(アンダーバー),undervar-tickets,グループ,FALSE,
7039,UNCHAIN,UNCHAIN,unchain-tickets,グループ,FALSE,
61151,アンテナ(バンド),アンテナ,antena-tickets,グループ,FALSE,
34356,andymori,andymori(アンディモリ),category-32801-tickets,グループ,FALSE,
37097,androp,androp(アンドロップ),androp-tickets,グループ,FALSE,
89174,Unknown Number!!!,Unknown Number,unknown-number-tickets,グループ,FALSE,
52276,the unknown forecast,the unknown forecast,the-unknown-forecast-tickets,グループ,FALSE,
46835,amber gris,amber gris(アンバーグリス),amber-gris-tickets,グループ,FALSE,
71687,infini.,アンフィニ(Infini),infini-tickets,グループ,FALSE,
69572,アンフィル,アンフィル,anfiel-tickets,グループ,FALSE,
55436,umbrella,umbrella(アンブレラ),xxumbrellaxx-tickets,グループ,FALSE,
67871,Unblock,Unblock(アンブロック),unblock-tickets,グループ,FALSE,
93848,AMPS(バンド),AMPS(アンプス),amps-tickets,グループ,FALSE,
68383,CHaCK-UP,アンプラネット,un-planet-tickets,グループ,FALSE,
35103,emmuree,emmuree(アンミュレ),emmuree-tickets,グループ,FALSE,
38405,Unlucky Morpheus,Unlucky Morpheus,ankimo-tickets,グループ,FALSE,
49094,Anli Pollicino,アンリポリチーノ,anli-pollicino-tickets,グループ,FALSE,
32435,UNLIMITS,UNLIMITS(アンリミッツ),unlimits-tickets,グループ,FALSE,
28022,Unlimited tone,アンリミテッドトーン,unlimited-tone-tickets,グループ,FALSE,
65561,アヴァンチック,アヴァンチック,avanchick-tickets,グループ,FALSE,
34955,ircle,ircle(アークル),ircle-tickets,グループ,FALSE,
2282,EARTHSHAKER,アースシェイカー,earthshaker-tickets,グループ,FALSE,
64138,ARTIFACT OF INSTANT,artifact of instant,artifact-of-instant-tickets,グループ,FALSE,
2114,ART-SCHOOL,ART-SCHOOL(アートスクール),art-school-tickets,グループ,FALSE,
38197,アーバンギャルド,アーバンギャルド,urbangarde-tickets,グループ,FALSE,
84390,URBAN DANCE,URBAN DANCE,ueban-dance-tickets,グループ,FALSE,
41558,R指定,R指定(アールシテイ),r-shitei-tickets,グループ,FALSE,
72089,委員会バンド,委員会バンド,iinkai-tickets,グループ,FALSE,
75388,YEN TOWN BAND,YEN TOWN BAND,yen-town-band-tickets,グループ,FALSE,
57282,Yeti(日本),Yeti(イエティ),yeti-tickets,グループ,FALSE,
494,THE YELLOW MONKEY,イエモン(ザイエローモンキー),yellowmonkey-tickets,グループ,FALSE,
5548,いきものがかり,いきものがかり,ikimonogakari-tickets,グループ,FALSE,2
24703,exist † trace,exist trace,exist-trace-tickets,グループ,FALSE,
73312,Equal,Equal(イコール),equal-tickets,グループ,FALSE,
68177,the equal lights,the equal lights,equal-lights-tickets,グループ,FALSE,
44770,1966カルテット,1966カルテット,1966-quartet-tickets,グループ,FALSE,
6488,12012,12012(イチニーゼロイチニー),ichini-tickets,グループ,FALSE,
53072,イツエ,イツエ,itsue-tickets,グループ,FALSE,
59616,イトヲカシ,イトヲカシ,itowokashi-tickets,グループ,FALSE,
2254,THEイナズマ戦隊,THE イナズマ戦隊,inazuma-sentai-tickets,グループ,FALSE,
2288,犬神サアカス團,犬神サアカス團,inugami-tickets,グループ,FALSE,
69721,INKT,INKT(インク),inkt-tickets,グループ,FALSE,
2261,韻シスト,韻シスト,in-sist-tickets,グループ,FALSE,
2049,INSPi,INSPi(インスピ),inspi-tickets,グループ,FALSE,
75769,iNSOMNiA,iNSOMNiA(インソムニア),insomnia-tickets,グループ,FALSE,
14192,indigo jam unit,indigo jam unit,indigo-jam-unit-tickets,グループ,FALSE,
53588,indigo la End,indigo la End,indigolaend-tickets,グループ,FALSE,
2464,インビシブルマンズデスベッド,インビシブルマンズデスベッド,invisiblemans-deathbed-tickets,グループ,FALSE,
15753,INFINITY16,INFINITY16,infinity16-tickets,グループ,FALSE,
923,eastern youth,イースタンユース,easternyouth-tickets,グループ,FALSE,
6870,ET-KING,ET-KING (イーティーキング),etking-tickets,グループ,FALSE,
58507,WING WORKS,WING WORKS,wing-works-tickets,グループ,FALSE,
1427,w-inds.,w-inds.(ウィンズ),w-inds-tickets,グループ,FALSE,
33997,Wienners,Wienners(ウィーナーズ),wienners-tickets,グループ,FALSE,
33807,WEAVER,WEAVER(ウィーバー),weaver-tickets,グループ,FALSE,
1427,w-inds.,ウインズ,winds-of-god-tickets,グループ,FALSE,
61503,THE WASTED,THE WASTED,the-wasted-tickets,グループ,FALSE,
62916,WEBER,WEBER(ウェバー),weber-tickets,グループ,FALSE,
,,上江洌.清作＆The BK Sounds,kiyosaku-x-bk-tickets,グループ,TRUE,
59676,WOMCADOLE,WOMCADOLE,womcadole-tickets,グループ,FALSE,
64792,ウカスカジー,UKASUKA-G(ウカスカジー),ukasuka-g-tickets,グループ,FALSE,
64810,鴬谷フィルハーモニー,鴬谷フィルハーモニー,udfh-tickets,グループ,FALSE,
60033,USAGI(上田和寛/杉山勝彦),USAGI(うさぎ),usagi-tickets,グループ,FALSE,
62944,ウソツキ,ウソツキ,usotsuki-tickets,グループ,FALSE,
36138,打首獄門同好会,打首獄門同好会,uchikubi-tickets,グループ,FALSE,
46976,"uchuu,",uchuu(ウチュウ),uchuu-tickets,グループ,FALSE,
59032,宇宙コンビニ,宇宙コンビニ,uchu-conbini-tickets,グループ,FALSE,
,,宇宙戦隊NOIZ,uchusentainoiz-tickets,グループ,TRUE,
71580,有頂天,有頂天,uchoten-tickets,グループ,FALSE,
55298,うみのて,うみのて,uminote-tickets,グループ,FALSE,
56389,梅棒,梅棒,umebo-tickets,グループ,FALSE,
66286,浦島坂田船,浦島坂田船,urasimasakatasen-tickets,グループ,FALSE,
,,浦和ユースオーケストラ,urawa-youth-tickets,グループ,TRUE,
503,ウルフルズ,ウルフルズ,ulfuls-tickets,グループ,FALSE,
73728,UROBOROS,ウロボロス(UROBOROS),urbrs-tickets,グループ,FALSE,
49950,UHNELLYS,UHNELLYS(ウーネリーズ),uhnellys-tickets,グループ,FALSE,
4481,UVERworld,UVERworld ウーバーワールド,uverworld-tickets,グループ,FALSE,3
54077,AIR SWELL,AIRSWELL(エアースウェル),air-swell-tickets,グループ,FALSE,
73379,Ache(kyo･光佑),Ache(エイク),ache-tickets,グループ,FALSE,
59575,AgeFactory,Age Factory,age-factory-tickets,グループ,FALSE,
,,HSMS,hsms-tickets,グループ,TRUE,
63146,H ZETTRIO,H ZETTRIO,h-zet-trio-tickets,グループ,FALSE,
1997,HY,HY(エイチワイ),hy-tickets,グループ,FALSE,
31262,80KIDZ,80kidz(エイティーキッズ),80kidz-tickets,グループ,FALSE,
