,,V6,v6-tickets,1,ジャニーズ,TRUE,
,,Hey! Say! JUMP,hey-say-jump-tickets,1,ジャニーズ,TRUE,
,,まいジャニ コンサート,maijani-tickets,1,ジャニーズ,TRUE,
,,松本潤(松潤),matsumoto-jun-tickets,1,ジャニーズ,TRUE,
,,丸山隆平,maruyama-ryuhei-tickets,1,ジャニーズ,TRUE,
,,MrKing VS MrPrince キンプリ,kinpuri-tickets,1,ジャニーズ,TRUE,
,,三宅健,miyake-ken-tickets,1,ジャニーズ,TRUE,
,,MADE(メイド),made-tickets,1,ジャニーズ,TRUE,
,,森田剛,morita-go-tickets,1,ジャニーズ,TRUE,
,,諸星和己,morohoshi-kazumi-tickets,1,ジャニーズ,TRUE,
,,山口達也,yamaguchi-tatsuya-tickets,1,ジャニーズ,TRUE,
,,山下智久(山P),yamashita-tomohisa-tickets,1,ジャニーズ,TRUE,
,,山田涼介,yamada-ryosuke-tickets,1,ジャニーズ,TRUE,
,,屋良朝幸,yara-tomoyuki-tickets,1,ジャニーズ,TRUE,
,,横山裕,yokoyama-yu-tickets,1,ジャニーズ,TRUE,
,,Lovetune(ラブチューン),love-tune-tickets,1,ジャニーズ,TRUE,
55513,EXILE ATSUSHI,EXILE ATSUSHI あつし,exile-atsushi-tickets,1,LDH,FALSE,4
,,Ami(中島麻未),ami-tickets,1,LDH,TRUE,
,,岩田剛典(がんちゃん),iwata-takanori-tickets,1,LDH,TRUE,
50632,E-Girls,E-girls(イーガールズ),egirls-tickets,1,LDH,FALSE,4
1901,EXILE,EXILE(エグザイル),exile-tickets,1,LDH,FALSE,4
,,EXILE NAOTO(なおと),exile-naoto-tickets,1,LDH,TRUE,
,,EX SHOW 2016,ex-show-tickets,1,LDH,TRUE,
64468,EXILE TAKAHIRO,EXILE TAKAHIRO(たかひろ),exile-takahiro-tickets,1,LDH,FALSE,4
,,EXILE TRIBE,exile-tribe-tickets,1,LDH,TRUE,
63196,EXILE THE SECOND,THE SECOND from EXILE,t-second-tickets,1,LDH,FALSE,4
,,ShuuKaRen(藤井姉妹),shuukaren-tickets,1,LDH,TRUE,
,,EXILE SHOKICHI(しょうきち),shokichi-tickets,1,LDH,TRUE,
46712,三代目 J Soul Brothers,三代目 J Soul Brothers,jsoulbrothers-tickets,1,LDH,FALSE,4
24443,GENERATIONS,GENERATIONS,generations-tickets,1,LDH,FALSE,4
,,ZEN(ゼン),zen-tickets,1,LDH,TRUE,
,,DANCE EARTH PARTY,dep-tickets,1,LDH,TRUE,
54669,MAKIDAI,DJ MAKIDAI CLUB EXILE,club-exile-tickets,1,LDH,FALSE,
,,DEEP (ディープ),category-30461-tickets,1,LDH,TRUE,
1252,Dream(E-girls),Dream(ドリーム),dream-tickets,1,LDH,FALSE,
67488,DOBERMAN INFINITY,ドーベルマンインフィニティ,doberman-infinity-tickets,1,LDH,FALSE,
96611,HiGH&LOW,ハイアンドロー(HiGH＆LOW),high-low-tickets,1,LDH,FALSE,
40359,Happiness(E-girls),Happiness(ハピネス),happiness-tickets,1,LDH,FALSE,4
,,Bannies(バニーズ),bannies-tickets,1,LDH,TRUE,
70266,PKCZ,PKCZ(ピーケーシーズ),ufo-tickets,1,LDH,FALSE,
